collection_name,dataset_name,algorithm,hyper_params,hyper_params_id,overall_runtime,range_pr_auc,range_roc_auc,roc_auc,pr_auc
GutenTAG,cbf-position-middle,Hybrid Isolation Forest (HIF),"{""n_trees"": 500, ""random_state"": 42}",afa2d8319abe6f297ccc948af3c450b6,446.1832640171052,0.8851750700280112,,0.9984803030303032,0.874072971517215
GutenTAG,ecg-diff-count-1,DWT-MLEAD,"{""quantile_epsilon"": 0.1, ""random_state"": 42, ""start_level"": 3}",40813f7d4823570c94e220a39d8b69e0,9.124366760253906,0.8236904761904762,,0.9991676767676768,0.8623203463203463
GutenTAG,ecg-diff-count-8,GrammarViz,"{""alphabet_size"": 6, ""anomaly_window_size"": 100, ""normalization_threshold"": 0.01, ""paa_transform_size"": 5, ""random_state"": 42}",68167f8cebb34ba892274e7ce6017715,27.60141897201538,0.7901854012689664,,0.988397583591198,0.8211918301405414
GutenTAG,ecg-same-count-1,DWT-MLEAD,"{""quantile_epsilon"": 0.1, ""random_state"": 42, ""start_level"": 3}",40813f7d4823570c94e220a39d8b69e0,6.482180833816528,0.9617858391608392,,0.9996767676767676,0.9685566724941724
GutenTAG,ecg-same-count-2,LSTM-AD,"{""batch_size"": 64, ""early_stopping_delta"": 0.05, ""early_stopping_patience"": 10, ""epochs"": 500, ""learning_rate"": 0.001, ""lstm_layers"": 1, ""prediction_window_size"": 50, ""random_state"": 42, ""split"": 0.8, ""test_batch_size"": 64, ""validation_batch_size"": 64, ""window_size"": 30}",52b52795e79a01eae71c1fc93e1819f7,7647.343061208725,0.9775117835595776,,0.9999744897959184,0.9987682176313144
GutenTAG,ecg-type-mean,Normalizing Flows,"{""batch_size"": 64, ""distillation_iterations"": 100, ""early_stopping_delta"": 0.05, ""early_stopping_patience"": 10, ""epochs"": 500, ""hidden_layer_shape"": [100, 100], ""n_hidden_features_factor"": 1.0, ""percentile"": 0.05, ""random_state"": 42, ""split"": 0.8, ""teacher_epochs"": 100, ""test_batch_size"": 64, ""window_size"": 15}",3d2173eb85d6e3e182617f62d7a67cbd,2322.531118631364,0.8803430531732419,,1.0,1.0
GutenTAG,ecg-type-pattern-shift,STOMP,"{""anomaly_window_size"": 100, ""exclusion_zone"": 0.5, ""n_jobs"": 1, ""random_state"": 42, ""verbose"": 0}",b82a31b56d1fb84b25b98ad747790b52,15.958214282989502,0.7393174061433447,,0.9996868686868688,0.9670998301480358
GutenTAG,ecg-type-trend,Torsk,"{""context_window_size"": 10, ""density"": 0.01, ""imed_loss"": false, ""input_map_scale"": 0.125, ""input_map_size"": 100, ""prediction_window_size"": 5, ""random_state"": 42, ""reservoir_representation"": ""sparse"", ""scoring_large_window_size"": 100, ""scoring_small_window_size"": 10, ""spectral_radius"": 2.0, ""tikhonov_beta"": null, ""train_method"": ""pinv_svd"", ""train_window_size"": 100, ""transient_window_size"": 20, ""verbose"": 0}",de9b8b973f50539dc5ef4c8c1a722f4b,1248.4103705883026,0.7486746987951808,,0.999989898989899,0.9990076754151482
GutenTAG,poly-diff-count-2,Random Forest Regressor (RR),"{""bootstrap"": true, ""max_features_method"": ""auto"", ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_jobs"": 1, ""n_trees"": 500, ""random_state"": 42, ""train_window_size"": 500, ""verbose"": 0}",d4da0800d72f72731219b3b8f231ef35,1788.1859555244446,0.8040809101963768,,0.9343908125533232,0.6988859033887256
GutenTAG,poly-diff-count-5,Random Forest Regressor (RR),"{""bootstrap"": true, ""max_features_method"": ""auto"", ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_jobs"": 1, ""n_trees"": 500, ""random_state"": 42, ""train_window_size"": 500, ""verbose"": 0}",d4da0800d72f72731219b3b8f231ef35,1906.546494960785,0.6795225569972894,,0.8396749557505341,0.669692041740821
