collection_name,dataset_name,algorithm,hyper_params,hyper_params_id,overall_runtime,range_pr_auc,range_roc_auc,roc_auc,pr_auc
GutenTAG,poly-length-10,Subsequence LOF,"{""distance_metric_order"": 2, ""leaf_size"": 20, ""n_jobs"": 1, ""n_neighbors"": 50, ""random_state"": 42, ""window_size"": 100}",6dcef871dfbbdaed78e233a69f1925ac,21.61031556129456,0.7042857142857143,,1.0,1.0
GutenTAG,poly-length-500,FFT,"{""context_window_size"": 5, ""fft_parameters"": 3, ""local_outlier_threshold"": 0.78, ""max_anomaly_window_size"": 500, ""max_sign_change_distance"": 20, ""random_state"": 42}",811b85c1468601b3a0d7972f20eb7d83,3.571721315383911,0.9246024135217276,,0.9691391578947368,0.9548823913653338
GutenTAG,poly-trend-linear,Torsk,"{""context_window_size"": 10, ""density"": 0.01, ""imed_loss"": false, ""input_map_scale"": 0.125, ""input_map_size"": 100, ""prediction_window_size"": 5, ""random_state"": 42, ""reservoir_representation"": ""sparse"", ""scoring_large_window_size"": 100, ""scoring_small_window_size"": 10, ""spectral_radius"": 2.0, ""tikhonov_beta"": null, ""train_method"": ""pinv_svd"", ""train_window_size"": 100, ""transient_window_size"": 20, ""verbose"": 0}",de9b8b973f50539dc5ef4c8c1a722f4b,916.0576274394988,0.7005503144654088,,0.999658585858586,0.9707017808706718
GutenTAG,rw-combined-diff-1,DeepAnT,"{""batch_size"": 64, ""early_stopping_delta"": 0.05, ""early_stopping_patience"": 10, ""epochs"": 500, ""learning_rate"": 0.001, ""prediction_window_size"": 50, ""random_state"": 42, ""split"": 0.8, ""window_size"": 50}",f1d3356f9300f17a84a6becaa8cf8758,3304.0759654045105,0.9621866377453292,,0.9975083333333332,0.9641716104858422
GutenTAG,rw-combined-diff-2,MedianMethod,"{""neighbourhood_size"": 200, ""random_state"": 42}",97d45bb36d81d9ee1b506d7c909e33ed,2.800822734832764,0.913060745354949,,0.9770372340425532,0.8727678860600792
GutenTAG,rw-length-100,FFT,"{""context_window_size"": 5, ""fft_parameters"": 3, ""local_outlier_threshold"": 0.78, ""max_anomaly_window_size"": 100, ""max_sign_change_distance"": 20, ""random_state"": 42}",811b85c1468601b3a0d7972f20eb7d83,3.263618469238281,0.9981029834754312,,0.9999843434343436,0.9983336721176176
GutenTAG,sinus-diff-count-2,k-Means,"{""anomaly_window_size"": 100, ""n_clusters"": 50, ""n_jobs"": 1, ""random_state"": 42, ""stride"": 1}",cfa90897b46b014c796de1ba98df27f8,64.93945503234863,0.9775795029507488,,0.999975,0.9987877106212736
GutenTAG,sinus-length-50,VALMOD,"{""exclusion_zone"": 0.5, ""heap_size"": 50, ""max_anomaly_window_size"": 40, ""min_anomaly_window_size"": 20, ""random_state"": 42, ""verbose"": 0}",f74fae266c1a6921831b154bf3f27c7f,33.70666456222534,0.9609784735812134,,0.9999798994974874,0.9961101213510004
GutenTAG,sinus-position-middle,DWT-MLEAD,"{""quantile_epsilon"": 0.1, ""random_state"": 42, ""start_level"": 3}",40813f7d4823570c94e220a39d8b69e0,8.600871324539185,0.8104685099846389,,0.9992,0.8967857142857144
GutenTAG,sinus-type-mean,S-H-ESD (Twitter),"{""max_anomalies"": 0.01, ""random_state"": 42, ""timestamp_unit"": ""m""}",8505110f8eafd85218d6d83d87a4157d,10.864678621292114,0.99505,,1.0,1.0
IOPS,05f10d3a-239c-3bef-9bdc-a2feeb0037aa,SSA,"{""alpha"": 0.2, ""ep"": 3, ""random_state"": 42, ""rf_method"": ""alpha"", ""window_size"": 40}",d631d6f4ff3d4be7de667c01dcfa14f7,162.31748366355896,0.9386788497435734,0.9988119557330116,0.9902760756324333,0.4337067383162364
IOPS,1c6d7a26-1f1a-3321-bb4d-7a9d969ec8f0,k-Means,"{""anomaly_window_size"": 36, ""n_clusters"": 50, ""n_jobs"": 1, ""random_state"": 42, ""stride"": 1}",cfa90897b46b014c796de1ba98df27f8,675.6116182804108,0.9296555264672404,0.9986587392680712,0.9952578767195156,0.434843680196074
IOPS,431a8542-c468-3988-a508-3afd06a218da,Series2Graph,"{""query_window_size"": 55, ""random_state"": 42, ""rate"": 100, ""window_size"": 37}",f4706d9effcb65f015f950175067e2e3,164.39745783805847,0.8979581006391315,0.9917627570437906,0.8331088630702259,0.1601034012502883
IOPS,4d2af31a-9916-3d9f-8a8e-8a268a48c095,Normalizing Flows,"{""batch_size"": 64, ""distillation_iterations"": 100, ""early_stopping_delta"": 0.05, ""early_stopping_patience"": 10, ""epochs"": 500, ""hidden_layer_shape"": [100, 100], ""n_hidden_features_factor"": 1.0, ""percentile"": 0.05, ""random_state"": 42, ""split"": 0.8, ""teacher_epochs"": 100, ""test_batch_size"": 64, ""window_size"": 5}",3d2173eb85d6e3e182617f62d7a67cbd,7345.305704832077,0.7498602756885286,0.939645124411458,0.9740811098924652,0.9258064519639716
IOPS,54350a12-7a9d-3ca8-b81f-f886b9d156fd,DWT-MLEAD,"{""quantile_epsilon"": 0.1, ""random_state"": 42, ""start_level"": 3}",40813f7d4823570c94e220a39d8b69e0,5.983024835586548,0.8462484942614755,0.9906245698112156,0.9816590698316856,0.4387297089507184
IOPS,57051487-3a40-3828-9084-a12f7f23ee38,SSA,"{""alpha"": 0.2, ""ep"": 3, ""random_state"": 42, ""rf_method"": ""alpha"", ""window_size"": 60}",d631d6f4ff3d4be7de667c01dcfa14f7,51.88300800323486,0.8707157788378729,0.9994758517581142,0.9981815413005116,0.5508849557522124
IOPS,6a757df4-95e5-3357-8406-165e2bd49360,Normalizing Flows,"{""batch_size"": 64, ""distillation_iterations"": 100, ""early_stopping_delta"": 0.05, ""early_stopping_patience"": 10, ""epochs"": 500, ""hidden_layer_shape"": [100, 100], ""n_hidden_features_factor"": 1.0, ""percentile"": 0.05, ""random_state"": 42, ""split"": 0.8, ""teacher_epochs"": 100, ""test_batch_size"": 64, ""window_size"": 3}",3d2173eb85d6e3e182617f62d7a67cbd,7348.400272369385,0.6116556606520324,0.8562447219055054,0.8265645354778712,0.7106975004668133
IOPS,7103fa0f-cac4-314f-addc-866190247439,Normalizing Flows,"{""batch_size"": 64, ""distillation_iterations"": 100, ""early_stopping_delta"": 0.05, ""early_stopping_patience"": 10, ""epochs"": 500, ""hidden_layer_shape"": [100, 100], ""n_hidden_features_factor"": 1.0, ""percentile"": 0.05, ""random_state"": 42, ""split"": 0.8, ""teacher_epochs"": 100, ""test_batch_size"": 64, ""window_size"": 17}",3d2173eb85d6e3e182617f62d7a67cbd,7286.132477045059,0.7666925806501022,0.9982327991078526,0.9978625936379149,0.2857455168785774
IOPS,847e8ecc-f8d2-3a93-9107-f367a0aab37d,k-Means,"{""anomaly_window_size"": 47, ""n_clusters"": 50, ""n_jobs"": 1, ""random_state"": 42, ""stride"": 1}",cfa90897b46b014c796de1ba98df27f8,623.3871026039124,0.9173875890033372,0.9985591125244608,0.9940380466222636,0.3593018169771307
IOPS,a8c06b47-cc41-3738-9110-12df0ee4c721,k-Means,"{""anomaly_window_size"": 71, ""n_clusters"": 50, ""n_jobs"": 1, ""random_state"": 42, ""stride"": 1}",cfa90897b46b014c796de1ba98df27f8,85.1331775188446,0.7855856705960136,0.9758465895959074,0.9660268610565406,0.5756927801402043
IOPS,c02607e8-7399-3dde-9d28-8a8da5e5d251,GrammarViz,"{""alphabet_size"": 6, ""anomaly_window_size"": 48, ""normalization_threshold"": 0.01, ""paa_transform_size"": 5, ""random_state"": 42}",68167f8cebb34ba892274e7ce6017715,11.260488510131836,0.8454183565686617,0.9950753818086358,0.990813808604725,0.3351143841482501
IOPS,c69a50cf-ee03-3bd7-831e-407d36c7ee91,k-Means,"{""anomaly_window_size"": 43, ""n_clusters"": 50, ""n_jobs"": 1, ""random_state"": 42, ""stride"": 1}",cfa90897b46b014c796de1ba98df27f8,677.8618032932281,0.9437595672446496,0.9990269963975268,0.9939560232574371,0.3792927466184457
IOPS,f0932edd-6400-3e63-9559-0a9860a1baa9,Subsequence LOF,"{""distance_metric_order"": 2, ""leaf_size"": 20, ""n_jobs"": 1, ""n_neighbors"": 50, ""random_state"": 42, ""window_size"": 62}",6dcef871dfbbdaed78e233a69f1925ac,1341.8477747440338,0.8353012924885996,0.989708644143579,0.7877498208646015,0.5409013014465975
IOPS,ffb82d38-5f00-37db-abc0-5d2e4e4cb6aa,Normalizing Flows,"{""batch_size"": 64, ""distillation_iterations"": 100, ""early_stopping_delta"": 0.05, ""early_stopping_patience"": 10, ""epochs"": 500, ""hidden_layer_shape"": [100, 100], ""n_hidden_features_factor"": 1.0, ""percentile"": 0.05, ""random_state"": 42, ""split"": 0.8, ""teacher_epochs"": 100, ""test_batch_size"": 64, ""window_size"": 8}",3d2173eb85d6e3e182617f62d7a67cbd,7272.724065065384,0.8156779617873555,0.958080683717222,0.9789125501914736,0.9239868357221346
KDD-TSAD,011_UCR_Anomaly_DISTORTEDECG1,ImageEmbeddingCAE,"{""anomaly_window_size"": 300, ""batch_size"": 64, ""early_stopping_delta"": 0.05, ""early_stopping_patience"": 10, ""epochs"": 500, ""latent_size"": 70, ""leaky_relu_alpha"": 0.03, ""learning_rate"": 0.001, ""num_kernels"": 32, ""random_state"": 42, ""split"": 0.8, ""test_batch_size"": 64}",abb7accb78c7fe24d082d1b9c4a14882,251.74362444877625,0.7939236111111111,,0.9766778900112234,0.7924785539215686
KDD-TSAD,022_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z4,HOT SAX,"{""alphabet_size"": 3, ""anomaly_window_size"": 118, ""normalization_threshold"": 0.01, ""num_discords"": null, ""paa_transform_size"": 3, ""random_state"": 42}",662a2b7d96430d3fe369355e1f475fa1,643.1950373649597,0.7723562581486311,,0.9687178155820372,0.7723305941260444
KDD-TSAD,030_UCR_Anomaly_DISTORTEDInternalBleeding19,Subsequence LOF,"{""distance_metric_order"": 2, ""leaf_size"": 20, ""n_jobs"": 1, ""n_neighbors"": 50, ""random_state"": 42, ""window_size"": 143}",6dcef871dfbbdaed78e233a69f1925ac,18.17908215522766,0.6542475728155339,,0.9999866488651536,0.9904545454545454
KDD-TSAD,031_UCR_Anomaly_DISTORTEDInternalBleeding20,NormA,"{""anomaly_window_size"": 160, ""normal_model_percentage"": 0.5, ""random_state"": 42}",558231c31183266698512ebb2f2d1171,8.921427488327026,0.9614091283918348,,0.9998424727520436,0.993088522169008
KDD-TSAD,058_UCR_Anomaly_DISTORTEDapneaecg,NormA,"{""anomaly_window_size"": 68, ""normal_model_percentage"": 0.5, ""random_state"": 42}",558231c31183266698512ebb2f2d1171,22.18091058731079,0.7691876750700279,,0.9998381446091824,0.9344851197274828
KDD-TSAD,070_UCR_Anomaly_DISTORTEDltstdbs30791AI,GrammarViz,"{""alphabet_size"": 6, ""anomaly_window_size"": 200, ""normalization_threshold"": 0.01, ""paa_transform_size"": 5, ""random_state"": 42}",68167f8cebb34ba892274e7ce6017715,611.5397279262543,0.9083035714285714,,0.9999645941741324,0.9905705476521618
KDD-TSAD,074_UCR_Anomaly_DISTORTEDqtdbSel1005V,STAMP,"{""anomaly_window_size"": 400, ""exclusion_zone"": 0.5, ""n_jobs"": 1, ""random_state"": 42, ""verbose"": 0}",b82a31b56d1fb84b25b98ad747790b52,384.5458879470825,0.6651573426573425,,0.9978169152551896,0.880331846211424
KDD-TSAD,095_UCR_Anomaly_NOISECIMIS44AirTemperature4,ARIMA,"{""differencing_degree"": 1, ""distance_metric"": ""twed"", ""max_lag"": 818, ""max_p"": 5, ""max_q"": 5, ""p_start"": 1, ""q_start"": 1, ""random_state"": 42, ""window_size"": 24}",c65230762e5361a11b4faac7164f95bf,656.2610745429993,0.7309027777777778,,0.9983407079646016,0.8587890625
KDD-TSAD,098_UCR_Anomaly_NOISEInternalBleeding16,k-Means,"{""anomaly_window_size"": 12, ""n_clusters"": 50, ""n_jobs"": 1, ""random_state"": 42, ""stride"": 1}",cfa90897b46b014c796de1ba98df27f8,75.60309624671936,0.6710239651416122,,0.9999332354119376,0.9614288489288492
KDD-TSAD,102_UCR_Anomaly_NOISEMesoplodonDensirostris,GrammarViz,"{""alphabet_size"": 6, ""anomaly_window_size"": 160, ""normalization_threshold"": 0.01, ""paa_transform_size"": 5, ""random_state"": 42}",68167f8cebb34ba892274e7ce6017715,97.56330013275146,0.6843548865176152,,0.9996033021177624,0.9556997221705348
KDD-TSAD,114_UCR_Anomaly_CIMIS44AirTemperature2,Torsk,"{""context_window_size"": 10, ""density"": 0.01, ""imed_loss"": false, ""input_map_scale"": 0.125, ""input_map_size"": 100, ""prediction_window_size"": 5, ""random_state"": 42, ""reservoir_representation"": ""sparse"", ""scoring_large_window_size"": 100, ""scoring_small_window_size"": 10, ""spectral_radius"": 2.0, ""tikhonov_beta"": null, ""train_method"": ""pinv_svd"", ""train_window_size"": 100, ""transient_window_size"": 20, ""verbose"": 0}",de9b8b973f50539dc5ef4c8c1a722f4b,358.7590880393982,0.6099078162064814,,0.997778799019608,0.7914184503179394
KDD-TSAD,131_UCR_Anomaly_GP711MarkerLFM5z5,DWT-MLEAD,"{""quantile_epsilon"": 0.1, ""random_state"": 42, ""start_level"": 3}",40813f7d4823570c94e220a39d8b69e0,6.054739952087402,0.8783936651583708,,0.9998060110703016,0.9742521367521368
KDD-TSAD,147_UCR_Anomaly_Lab2Cmac011215EPG3,GrammarViz,"{""alphabet_size"": 6, ""anomaly_window_size"": 30, ""normalization_threshold"": 0.01, ""paa_transform_size"": 5, ""random_state"": 42}",68167f8cebb34ba892274e7ce6017715,142.59524774551392,0.7016216216216217,,0.9999944295900178,0.9952380952380953
KDD-TSAD,152_UCR_Anomaly_PowerDemand1,GrammarViz,"{""alphabet_size"": 6, ""anomaly_window_size"": 336, ""normalization_threshold"": 0.01, ""paa_transform_size"": 5, ""random_state"": 42}",68167f8cebb34ba892274e7ce6017715,268.37247467041016,0.7804515098722415,,0.9998851559545934,0.990255937512916
KDD-TSAD,154_UCR_Anomaly_PowerDemand3,STAMP,"{""anomaly_window_size"": 72, ""exclusion_zone"": 0.5, ""n_jobs"": 1, ""random_state"": 42, ""verbose"": 0}",b82a31b56d1fb84b25b98ad747790b52,181.309071302414,0.7792948717948718,,0.999973021348486,0.9900996313832072
KDD-TSAD,163_UCR_Anomaly_apneaecg2,NormA,"{""anomaly_window_size"": 150, ""normal_model_percentage"": 0.5, ""random_state"": 42}",558231c31183266698512ebb2f2d1171,24.803950548172,0.6737735849056604,,0.998171451418042,0.821343412008643
KDD-TSAD,174_UCR_Anomaly_insectEPG2,GrammarViz,"{""alphabet_size"": 6, ""anomaly_window_size"": 25, ""normalization_threshold"": 0.01, ""paa_transform_size"": 5, ""random_state"": 42}",68167f8cebb34ba892274e7ce6017715,33.3410165309906,0.6805750431282346,,0.999995989170761,0.9984615384615384
KDD-TSAD,202_UCR_Anomaly_CHARISfive,STAMP,"{""anomaly_window_size"": 30, ""exclusion_zone"": 0.5, ""n_jobs"": 1, ""random_state"": 42, ""verbose"": 0}",b82a31b56d1fb84b25b98ad747790b52,412.4367356300354,0.7942588743204348,,0.9984434865900382,0.7526132226738197
KDD-TSAD,208_UCR_Anomaly_CHARISten,Left STAMPi,"{""anomaly_window_size"": 60, ""n_init_train"": 4087, ""random_state"": 42}",c7154041299f401511423f541d29014c,206.24645566940308,0.6068790736280634,,0.9993722943722944,0.7311879682537831
KDD-TSAD,232_UCR_Anomaly_mit14134longtermecg,IF-LOF,"{""n_neighbors"": 50, ""n_trees"": 500, ""random_state"": 42}",39b5894eb8c0e6acfc01382c20c9e300,71.8418447971344,0.7200301665300909,,0.912921610224981,0.7791960226861462
MGAB,2,GrammarViz,"{""alphabet_size"": 6, ""anomaly_window_size"": 20, ""normalization_threshold"": 0.01, ""paa_transform_size"": 5, ""random_state"": 42}",68167f8cebb34ba892274e7ce6017715,1566.3014769554138,0.6159617444825507,,0.99069874749499,0.6871024244564985
MGAB,3,GrammarViz,"{""alphabet_size"": 6, ""anomaly_window_size"": 20, ""normalization_threshold"": 0.01, ""paa_transform_size"": 5, ""random_state"": 42}",68167f8cebb34ba892274e7ce6017715,1042.6966817378998,0.6186184031342769,,0.914949223446894,0.6521559939283934
MGAB,4,GrammarViz,"{""alphabet_size"": 6, ""anomaly_window_size"": 20, ""normalization_threshold"": 0.01, ""paa_transform_size"": 5, ""random_state"": 42}",68167f8cebb34ba892274e7ce6017715,1261.7514686584473,0.6302116927213983,,0.9953378006012024,0.6761896232770238
MGAB,6,GrammarViz,"{""alphabet_size"": 6, ""anomaly_window_size"": 20, ""normalization_threshold"": 0.01, ""paa_transform_size"": 5, ""random_state"": 42}",68167f8cebb34ba892274e7ce6017715,1409.968255996704,0.6375791507716565,,0.9937027805611224,0.6588433587941237
NAB,Twitter_volume_AMZN,GrammarViz,"{""alphabet_size"": 6, ""anomaly_window_size"": 395, ""normalization_threshold"": 0.01, ""paa_transform_size"": 5, ""random_state"": 42}",68167f8cebb34ba892274e7ce6017715,54.80653262138367,0.7165088135899714,,0.9597665586869764,0.7827722080497737
NAB,Twitter_volume_CVS,GrammarViz,"{""alphabet_size"": 6, ""anomaly_window_size"": 732, ""normalization_threshold"": 0.01, ""paa_transform_size"": 5, ""random_state"": 42}",68167f8cebb34ba892274e7ce6017715,39.35124230384827,0.868243962509529,,0.9819207581831626,0.8188571263772952
NAB,Twitter_volume_FB,k-Means,"{""anomaly_window_size"": 791, ""n_clusters"": 50, ""n_jobs"": 1, ""random_state"": 42, ""stride"": 1}",cfa90897b46b014c796de1ba98df27f8,218.0241229534149,0.7604741892588508,,0.984717775699374,0.8795163375047022
NAB,Twitter_volume_GOOG,k-Means,"{""anomaly_window_size"": 638, ""n_clusters"": 50, ""n_jobs"": 1, ""random_state"": 42, ""stride"": 1}",cfa90897b46b014c796de1ba98df27f8,374.1813447475433,0.6577678211844927,,0.8489178643012495,0.7425612055245795
NAB,art_daily_flatmiddle,k-Means,"{""anomaly_window_size"": 403, ""n_clusters"": 50, ""n_jobs"": 1, ""random_state"": 42, ""stride"": 1}",cfa90897b46b014c796de1ba98df27f8,85.71380066871643,0.8729735704347612,,0.994209179295269,0.9507926052801464
NAB,art_daily_jumpsdown,GrammarViz,"{""alphabet_size"": 6, ""anomaly_window_size"": 403, ""normalization_threshold"": 0.01, ""paa_transform_size"": 5, ""random_state"": 42}",68167f8cebb34ba892274e7ce6017715,8.930032730102539,0.9565131400468008,,0.9969603148609184,0.9747989200001592
NAB,art_increase_spike_density,STAMP,"{""anomaly_window_size"": 403, ""exclusion_zone"": 0.5, ""n_jobs"": 1, ""random_state"": 42, ""verbose"": 0}",b82a31b56d1fb84b25b98ad747790b52,13.476004362106323,0.9952026468155502,,0.9999753843965792,0.9997798637047336
NAB,art_load_balancer_spikes,STAMP,"{""anomaly_window_size"": 403, ""exclusion_zone"": 0.5, ""n_jobs"": 1, ""random_state"": 42, ""verbose"": 0}",b82a31b56d1fb84b25b98ad747790b52,11.487365007400513,0.9294987192565584,,0.9962303938428172,0.966150734185679
NAB,cpu_utilization_asg_misconfiguration,STAMP,"{""anomaly_window_size"": 1499, ""exclusion_zone"": 0.5, ""n_jobs"": 1, ""random_state"": 42, ""verbose"": 0}",b82a31b56d1fb84b25b98ad747790b52,219.15155816078183,0.997651593437019,,1.0,1.0
NAB,ec2_cpu_utilization_24ae8d,GrammarViz,"{""alphabet_size"": 6, ""anomaly_window_size"": 201, ""normalization_threshold"": 0.01, ""paa_transform_size"": 5, ""random_state"": 42}",68167f8cebb34ba892274e7ce6017715,11.30475091934204,0.7801175035553155,,0.9787426503844416,0.8751288292918816
NAB,ec2_cpu_utilization_5f5533,Torsk,"{""context_window_size"": 10, ""density"": 0.01, ""imed_loss"": false, ""input_map_scale"": 0.125, ""input_map_size"": 100, ""prediction_window_size"": 5, ""random_state"": 42, ""reservoir_representation"": ""sparse"", ""scoring_large_window_size"": 100, ""scoring_small_window_size"": 10, ""spectral_radius"": 2.0, ""tikhonov_beta"": null, ""train_method"": ""pinv_svd"", ""train_window_size"": 100, ""transient_window_size"": 20, ""verbose"": 0}",de9b8b973f50539dc5ef4c8c1a722f4b,93.77478504180908,0.9226839463342088,,0.9900449542919014,0.945979475341278
NAB,ec2_cpu_utilization_ac20cd,TSBitmap,"{""alphabet_size"": 4, ""encoding_ratio"": 1, ""feature_window_size"": 500, ""lag_window_size"": 500, ""lead_window_size"": 200, ""level_size"": 2, ""random_state"": 42}",9a16ebb1b494d5582698b63f331f5069,2.631990671157837,0.8993673608180789,,0.986217313384666,0.9605897042771576
NAB,ec2_network_in_257a54,k-Means,"{""anomaly_window_size"": 403, ""n_clusters"": 50, ""n_jobs"": 1, ""random_state"": 42, ""stride"": 1}",cfa90897b46b014c796de1ba98df27f8,109.31235718727112,0.9253278192438534,,0.9998529901462372,0.9986955613363848
NAB,ec2_request_latency_system_failure,k-Means,"{""anomaly_window_size"": 135, ""n_clusters"": 50, ""n_jobs"": 1, ""random_state"": 42, ""stride"": 1}",cfa90897b46b014c796de1ba98df27f8,46.883683919906616,0.7998841599389332,,0.9618537882755874,0.7606170427483592
NAB,exchange-3_cpm_results,Left STAMPi,"{""anomaly_window_size"": 153, ""n_init_train"": 153, ""random_state"": 42}",c7154041299f401511423f541d29014c,31.661110877990723,0.6163635808168467,,0.9482126424577052,0.6830399923708207
NAB,machine_temperature_system_failure,GrammarViz,"{""alphabet_size"": 6, ""anomaly_window_size"": 567, ""normalization_threshold"": 0.01, ""paa_transform_size"": 5, ""random_state"": 42}",68167f8cebb34ba892274e7ce6017715,31.5917067527771,0.7117530082013238,,0.9585093807181404,0.7235273823180848
NAB,occupancy_t4013,Torsk,"{""context_window_size"": 10, ""density"": 0.01, ""imed_loss"": false, ""input_map_scale"": 0.125, ""input_map_size"": 100, ""prediction_window_size"": 5, ""random_state"": 42, ""reservoir_representation"": ""sparse"", ""scoring_large_window_size"": 100, ""scoring_small_window_size"": 10, ""spectral_radius"": 2.0, ""tikhonov_beta"": null, ""train_method"": ""pinv_svd"", ""train_window_size"": 100, ""transient_window_size"": 20, ""verbose"": 0}",de9b8b973f50539dc5ef4c8c1a722f4b,32.240689277648926,0.7820938794807635,,0.9693635555555556,0.7926134444636267
NAB,rds_cpu_utilization_cc0c53,k-Means,"{""anomaly_window_size"": 201, ""n_clusters"": 50, ""n_jobs"": 1, ""random_state"": 42, ""stride"": 1}",cfa90897b46b014c796de1ba98df27f8,64.98241138458252,0.8371213348534012,,0.983166125296383,0.8538036016147201
NAB,rds_cpu_utilization_e47b3b,Series2Graph,"{""query_window_size"": 150, ""random_state"": 42, ""rate"": 100, ""window_size"": 100}",f4706d9effcb65f015f950175067e2e3,17.951513290405273,0.9749094881820936,,0.9976179707522992,0.9795349087010032
NAB,speed_6005,GrammarViz,"{""alphabet_size"": 6, ""anomaly_window_size"": 239, ""normalization_threshold"": 0.01, ""paa_transform_size"": 5, ""random_state"": 42}",68167f8cebb34ba892274e7ce6017715,5.146446943283081,0.7790959604877612,,0.9521039862762988,0.9383771190576278
NASA-MSL,C-2,Left STAMPi,"{""anomaly_window_size"": 101, ""n_init_train"": 205, ""random_state"": 42}",c7154041299f401511423f541d29014c,34.58458924293518,0.7055720353357003,,0.9744601819859812,0.8349711480495842
NASA-MSL,D-14,Subsequence IF,"{""bootstrap"": true, ""max_features"": 1.0, ""n_jobs"": 1, ""n_trees"": 500, ""random_state"": 42, ""verbose"": 0, ""window_size"": 8}",d8c9306f7a39f0acc6ea336fda3f3f10,11.182705879211426,0.9837493681601408,,0.9729129878942614,0.9745815898089508
NASA-MSL,F-5,GrammarViz,"{""alphabet_size"": 6, ""anomaly_window_size"": 151, ""normalization_threshold"": 0.01, ""paa_transform_size"": 5, ""random_state"": 42}",68167f8cebb34ba892274e7ce6017715,7.289854764938354,0.9916221176095108,,0.9999578519232696,0.9990243478735128
